entity,metric,n_polls,n_pollsters,pollsters,last_date,latest_average,cross_pollster_average,latest_per_pollster
Giorgia Meloni,fiducia_pct,46,7,BiDiMedia; EMG; Only Numbers; Piepoli; SWG; Tecnè; Termometro Politico,25/06/2026,40.1,39.0,BiDiMedia 36 (25/06/2026); EMG 41 (22/06/2026); Only Numbers 36 (29/07/2025); Piepoli 43 (21/05/2026); SWG 40 (14/04/2026); Tecnè 45.8 (18/09/2025); Termometro Politico 38.7 (22/06/2026)
Governo,fiducia_pct,32,5,BiDiMedia; EMG; Ixè; Tecnè; Youtrend,25/06/2026,37.3,36.1,BiDiMedia 35 (25/06/2026); EMG 37 (22/06/2026); Ixè 37 (27/11/2025); Tecnè 43.3 (16/02/2026); Youtrend 34 (09/07/2025)
Governo,giudizi_positivi_pct,24,4,Ipsos; Only Numbers; Tecnè; Youtrend,19/06/2026,35.1,35.4,Ipsos 36 (03/06/2026); Only Numbers 25.8 (26/02/2026); Tecnè 43.5 (22/12/2025); Youtrend 35 (19/06/2026)
Giorgia Meloni,giudizi_positivi_pct,11,4,Demos&Pi; EMG; Ipsos; Youtrend,03/06/2026,38.0,37.4,Demos&Pi 39 (08/05/2026); EMG 42 (31/03/2026); Ipsos 37 (03/06/2026); Youtrend 34 (16/07/2025)
Elly Schlein,fiducia_pct,10,3,BiDiMedia; EMG; Piepoli,22/06/2026,26.7,27.1,BiDiMedia 27 (27/04/2026); EMG 27 (22/06/2026); Piepoli 26 (05/06/2026)
Matteo Salvini,fiducia_pct,10,3,BiDiMedia; EMG; Youtrend,22/06/2026,24.3,27.3,BiDiMedia 24 (27/04/2026); EMG 27 (22/06/2026); Youtrend 22 (28/11/2025)
Sergio Mattarella,fiducia_pct,10,3,EMG; Ixè; Piepoli,22/06/2026,71.0,81.9,EMG 82 (22/06/2026); Ixè 70 (27/11/2025); Piepoli 61 (21/11/2025)
Antonio Tajani,fiducia_pct,9,2,BiDiMedia; EMG,22/06/2026,27.5,27.1,BiDiMedia 28 (27/04/2026); EMG 27 (22/06/2026)
Carlo Calenda,fiducia_pct,9,2,BiDiMedia; EMG,22/06/2026,20.5,17.8,BiDiMedia 23 (27/04/2026); EMG 18 (22/06/2026)
Giuseppe Conte,fiducia_pct,9,2,BiDiMedia; EMG,22/06/2026,36.5,40.3,BiDiMedia 32 (27/04/2026); EMG 41 (22/06/2026)
Matteo Renzi,fiducia_pct,9,2,BiDiMedia; EMG,22/06/2026,18.0,18.9,BiDiMedia 17 (27/04/2026); EMG 19 (22/06/2026)
Angelo Bonelli,fiducia_pct,8,1,EMG,22/06/2026,,,EMG 21 (22/06/2026)
Maurizio Lupi,fiducia_pct,8,1,EMG,22/06/2026,,,EMG 22 (22/06/2026)
Nicola Fratoianni,fiducia_pct,8,1,EMG,22/06/2026,,,EMG 21 (22/06/2026)
Roberto Vannacci,fiducia_pct,8,3,EMG; LAB21; Youtrend,22/06/2026,23.7,25.6,EMG 23 (22/06/2026); LAB21 34.1 (15/06/2026); Youtrend 14 (04/02/2026)
Angelo Bonelli,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 21 (03/06/2026)
Antonio Tajani,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 27 (03/06/2026)
Carlo Calenda,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 19 (03/06/2026)
Elly Schlein,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 24 (03/06/2026)
Giorgia Meloni,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 42 (03/06/2026)
Giuseppe Conte,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 30 (03/06/2026)
Governo,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 40 (03/06/2026)
Luigi Marattin,fiducia_pct,7,1,EMG,22/06/2026,,,EMG 25 (22/06/2026)
Matteo Renzi,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 14 (03/06/2026)
Matteo Salvini,giudizi_positivi_pct,7,5,Demos&Pi; EMG; Eumetra; Ipsos; Youtrend,08/05/2026,23.3,21.0,Demos&Pi 17 (08/05/2026); EMG 29 (31/03/2026); Eumetra 23.7 (08/05/2026); Ipsos 24 (03/11/2025); Youtrend 23 (16/07/2025)
Matteo Salvini,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 23 (03/06/2026)
Maurizio Lupi,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 17 (03/06/2026)
Nicola Fratoianni,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 21 (03/06/2026)
Riccardo Magi,gradimento_index,7,1,Ipsos,03/06/2026,,,Ipsos 16 (03/06/2026)
Angelo Bonelli,giudizi_positivi_pct,6,4,Demos&Pi; EMG; Eumetra; Ipsos,08/05/2026,18.5,16.4,Demos&Pi 14 (08/05/2026); EMG 22 (31/03/2026); Eumetra 18 (08/05/2026); Ipsos 20 (03/11/2025)
Carlo Calenda,giudizi_positivi_pct,6,4,Demos&Pi; EMG; Eumetra; Ipsos,08/05/2026,19.4,20.7,Demos&Pi 19 (08/05/2026); EMG 18 (31/03/2026); Eumetra 22.8 (08/05/2026); Ipsos 18 (03/11/2025)
Donald Trump,fiducia_pct,6,2,Piepoli; SWG,15/06/2026,15.0,12.9,Piepoli 13 (15/06/2026); SWG 17 (09/09/2025)
Elly Schlein,giudizi_positivi_pct,6,4,Demos&Pi; EMG; Eumetra; Ipsos,08/05/2026,25.6,24.6,Demos&Pi 20 (08/05/2026); EMG 31 (31/03/2026); Eumetra 28.2 (08/05/2026); Ipsos 23 (03/11/2025)
Giuseppe Conte,giudizi_positivi_pct,6,4,Demos&Pi; EMG; Eumetra; Ipsos,08/05/2026,34.0,35.9,Demos&Pi 35 (08/05/2026); EMG 36 (31/03/2026); Eumetra 36.8 (08/05/2026); Ipsos 28 (03/11/2025)
Matteo Renzi,giudizi_positivi_pct,6,4,Demos&Pi; EMG; Eumetra; Ipsos,08/05/2026,14.8,14.3,Demos&Pi 12 (08/05/2026); EMG 17 (31/03/2026); Eumetra 16.2 (08/05/2026); Ipsos 14 (03/11/2025)
Nicola Fratoianni,giudizi_positivi_pct,6,4,Demos&Pi; EMG; Eumetra; Ipsos,08/05/2026,20.3,19.7,Demos&Pi 20 (08/05/2026); EMG 22 (31/03/2026); Eumetra 19.1 (08/05/2026); Ipsos 20 (03/11/2025)
Antonio Tajani,giudizi_positivi_pct,5,4,Demos&Pi; EMG; Eumetra; Youtrend,08/05/2026,25.8,26.8,Demos&Pi 25 (08/05/2026); EMG 30 (31/03/2026); Eumetra 28.1 (08/05/2026); Youtrend 20 (16/07/2025)
Donald Trump,giudizi_positivi_pct,4,2,Demopolis; Demos&Pi,26/04/2026,17.0,13.4,Demopolis 12 (26/04/2026); Demos&Pi 22 (29/09/2025)
Emma Bonino,fiducia_pct,4,1,EMG,01/12/2025,,,EMG 22 (01/12/2025)
Roberto Vannacci,gradimento_index,4,1,Ipsos,03/06/2026,,,Ipsos 21 (03/06/2026)
Emma Bonino,giudizi_positivi_pct,3,2,Demos&Pi; Eumetra,08/05/2026,24.3,24.3,Demos&Pi 24 (08/05/2026); Eumetra 24.6 (08/05/2026)
Maurizio Lupi,giudizi_positivi_pct,3,2,EMG; Ipsos,31/03/2026,20.5,22.0,EMG 22 (31/03/2026); Ipsos 19 (03/11/2025)
Roberto Vannacci,giudizi_positivi_pct,3,3,Demos&Pi; Eumetra; Only Numbers,22/06/2026,20.1,19.3,Demos&Pi 20 (08/05/2026); Eumetra 21.4 (08/05/2026); Only Numbers 19 (22/06/2026)
Beppe Grillo,giudizi_positivi_pct,2,1,Demos&Pi,08/05/2026,,,Demos&Pi 10 (08/05/2026)
Riccardo Magi,giudizi_positivi_pct,2,1,Ipsos,03/11/2025,,,Ipsos 18 (03/11/2025)
Sergio Mattarella,gradimento_index,2,1,Demos&Pi,01/06/2026,,,Demos&Pi 61 (01/06/2026)
Unione Europea,fiducia_pct,2,1,Ixè,27/04/2026,,,Ixè 48 (27/04/2026)
Adolfo Urso,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 17 (16/07/2025)
Alessandra Locatelli,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 15 (16/07/2025)
Alessandro Giuli,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 19 (16/07/2025)
Andrea Abodi,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 16 (16/07/2025)
Angelo Bonelli,voto_medio_1_10,1,1,Eumetra,03/10/2025,,,Eumetra 2.23 (03/10/2025)
Anna Maria Bernini,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 20 (16/07/2025)
Antonio Tajani,most_trusted_share,1,1,LAB21,24/06/2026,,,LAB21 6.1 (24/06/2026)
Antonio Tajani,voto_medio_1_10,1,1,Eumetra,03/10/2025,,,Eumetra 3.5 (03/10/2025)
Benjamin Netanyahu,giudizi_positivi_pct,1,1,Demos&Pi,29/09/2025,,,Demos&Pi 12 (29/09/2025)
Bonelli,fiducia_pct,1,1,BiDiMedia,27/04/2026,,,BiDiMedia 21 (27/04/2026)
Carlo Calenda,most_trusted_share,1,1,LAB21,24/06/2026,,,LAB21 3.3 (24/06/2026)
Carlo Calenda,voto_medio_1_10,1,1,Eumetra,03/10/2025,,,Eumetra 2.49 (03/10/2025)
Carlo Nordio,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 25 (16/07/2025)
Cateno De Luca,most_trusted_share,1,1,LAB21,24/06/2026,,,LAB21 2.8 (24/06/2026)
Daniela Santanchè,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 11 (16/07/2025)
Elly Schlein,most_trusted_share,1,1,LAB21,24/06/2026,,,LAB21 15.1 (24/06/2026)
Emma Bonino,voto_medio_1_10,1,1,Eumetra,03/10/2025,,,Eumetra 2.77 (03/10/2025)
Eugenia Roccella,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 15 (16/07/2025)
Europa,fiducia_pct,1,1,Piepoli,05/06/2026,,,Piepoli 42 (05/06/2026)
Forze Armate,fiducia_pct,1,1,Only Numbers,19/12/2025,,,Only Numbers 61.3 (19/12/2025)
Francesco Lollobrigida,giudizi_positivi_pct,1,1,Youtrend,16/07/2025,,,Youtrend 19 (16/07/2025)
Fratoianni,fiducia_pct,1,1,BiDiMedia,27/04/2026,,,BiDiMedia 21 (27/04/2026)
