pollster,deposit_date,entity,metric,value
BiDiMedia,25/06/2026,Giorgia Meloni,fiducia_pct,36.0
BiDiMedia,25/06/2026,Governo,fiducia_pct,35.0
LAB21,24/06/2026,Matteo Renzi,most_trusted_share,2.1
LAB21,24/06/2026,Cateno De Luca,most_trusted_share,2.8
LAB21,24/06/2026,Carlo Calenda,most_trusted_share,3.3
LAB21,24/06/2026,Nicola Fratoianni,most_trusted_share,5.4
LAB21,24/06/2026,Matteo Salvini,most_trusted_share,5.9
LAB21,24/06/2026,Antonio Tajani,most_trusted_share,6.1
LAB21,24/06/2026,Roberto Vannacci,most_trusted_share,10.2
LAB21,24/06/2026,Giuseppe Conte,most_trusted_share,12.4
LAB21,24/06/2026,Elly Schlein,most_trusted_share,15.1
LAB21,24/06/2026,Giorgia Meloni,most_trusted_share,36.7
EMG,22/06/2026,Sergio Mattarella,fiducia_pct,82.0
EMG,22/06/2026,Giorgia Meloni,fiducia_pct,41.0
EMG,22/06/2026,Giuseppe Conte,fiducia_pct,41.0
EMG,22/06/2026,Antonio Tajani,fiducia_pct,27.0
EMG,22/06/2026,Elly Schlein,fiducia_pct,27.0
EMG,22/06/2026,Matteo Salvini,fiducia_pct,27.0
EMG,22/06/2026,Luigi Marattin,fiducia_pct,25.0
EMG,22/06/2026,Roberto Vannacci,fiducia_pct,23.0
EMG,22/06/2026,Maurizio Lupi,fiducia_pct,22.0
EMG,22/06/2026,Nicola Fratoianni,fiducia_pct,21.0
EMG,22/06/2026,Angelo Bonelli,fiducia_pct,21.0
EMG,22/06/2026,Matteo Renzi,fiducia_pct,19.0
EMG,22/06/2026,Carlo Calenda,fiducia_pct,18.0
EMG,22/06/2026,Governo,fiducia_pct,37.0
Only Numbers,22/06/2026,Roberto Vannacci,giudizi_positivi_pct,19.0
Termometro Politico,22/06/2026,Giorgia Meloni,fiducia_pct,38.7
Youtrend,19/06/2026,Governo,giudizi_positivi_pct,35.0
LAB21,15/06/2026,Roberto Vannacci,fiducia_pct,34.1
Termometro Politico,15/06/2026,Giorgia Meloni,fiducia_pct,37.9
Piepoli,15/06/2026,Donald Trump,fiducia_pct,13.0
EMG,12/06/2026,Governo,fiducia_pct,36.0
Termometro Politico,08/06/2026,Giorgia Meloni,fiducia_pct,38.1
EMG,05/06/2026,Sergio Mattarella,fiducia_pct,82.0
EMG,05/06/2026,Giorgia Meloni,fiducia_pct,42.0
EMG,05/06/2026,Giuseppe Conte,fiducia_pct,40.0
EMG,05/06/2026,Elly Schlein,fiducia_pct,28.0
EMG,05/06/2026,Matteo Salvini,fiducia_pct,28.0
EMG,05/06/2026,Antonio Tajani,fiducia_pct,27.0
EMG,05/06/2026,Luigi Marattin,fiducia_pct,25.0
EMG,05/06/2026,Nicola Fratoianni,fiducia_pct,22.0
EMG,05/06/2026,Angelo Bonelli,fiducia_pct,22.0
EMG,05/06/2026,Maurizio Lupi,fiducia_pct,22.0
EMG,05/06/2026,Roberto Vannacci,fiducia_pct,21.0
EMG,05/06/2026,Matteo Renzi,fiducia_pct,19.0
EMG,05/06/2026,Carlo Calenda,fiducia_pct,17.0
EMG,05/06/2026,Governo,fiducia_pct,37.0
Piepoli,05/06/2026,Elly Schlein,fiducia_pct,26.0
Piepoli,05/06/2026,Europa,fiducia_pct,42.0
Piepoli,04/06/2026,Repubblica Italiana e Istituzioni,fiducia_pct,50.0
Ipsos,03/06/2026,Governo,giudizi_positivi_pct,36.0
Ipsos,03/06/2026,Governo,gradimento_index,40.0
Ipsos,03/06/2026,Giorgia Meloni,giudizi_positivi_pct,37.0
Ipsos,03/06/2026,Giorgia Meloni,gradimento_index,42.0
Ipsos,03/06/2026,Giuseppe Conte,gradimento_index,30.0
Ipsos,03/06/2026,Antonio Tajani,gradimento_index,27.0
